Carboidrato (g),Proteína (g),Lipídeos (g),Colesterol (mg),Fibra Alimentar (g),Cálcio (mg),Magnésio (mg),Manganês (mg),Fósforo (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (μg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vitamina C (mg),Nome,Tipo
0.281,0.025,0.002,0.0,0.016,0.04,0.02,0.003,0.0,0.0,0.0,0.18,0.001,0.01,0.15,0.0,0.0,0.0,0.0,0.0,Arroz,gramas
0.6659999999999999,0.139,0.085,0.0,0.091,0.48,1.19,0.0189,1.53,0.0,0.0,0.044000000000000004,0.05,3.36,0.0044,0.0055000000000000005,0.0003,0.0,0.0447,0.013999999999999999,Aveia,gramas
0.888,0.047,0.006999999999999999,0.0,0.021,0.56,0.08,0.0013,0.43,0.039,4.05,0.52,0.0004,0.085,0.0,0.0073,0.0111,0.0079,0.1013,0.146,Cereal matinal,gramas
0.7659999999999999,0.10300000000000001,0.02,0.18,0.023,0.19,0.0,0.004,1.18,0.0,0.0,0.009000000000000001,0.15,1.34,0.0014000000000000002,0.0011,0.0005,0.0003,0.0437,0.0,Macarrão,gramas
0.017,0.006,0.001,0.0,0.01,0.14,0.06,0.0012,0.19,0.0,0.0,0.003,0.07,1.36,0.0002,0.0003,0.0,0.0004,0.0,0.11,Alface,gramas
0.147,0.018000000000000002,0.0,0.0,0.012,0.04,0.15,0.001,0.39,0.0,0.0,0.004,0.0,3.02,0.0009,0.001,0.0,0.0015,0.0,0.311,Batata,gramas
0.04,0.036000000000000004,0.003,0.0,0.028999999999999998,0.86,0.3,0.0026,0.78,0.006,0.03,3.22,0.0006,0.005,0.0,0.0012,0.0018,0.0008,0.0139,0.34299999999999997,Brócolis,gramas
0.034,0.019,0.004,0.0,0.036000000000000004,0.8,0.25,0.0013,0.27,0.006,0.02,2.06,0.0004,0.003,0.0,0.0003,0.0004,0.0008,0.0,0.318,Ceolinha,gramas
0.0,0.32,0.025,0.89,0.0,0.05,0.18,0.0,2.95,0.003,0.0,0.5,3.87,0.0002,0.008,0.0,0.0011,0.0,0.0,0.2483,Frango,gramas
0.53,0.34700000000000003,0.009000000000000001,0.25,0.0,13.63,1.09,0.0,0.0,0.0,0.0,16.73,0.009000000000000001,4.32,15.56,2.99,0.0032,0.012,0.0,0.008100000000000001,Leite,gramas
0.004,0.0,0.0,0.0,0.0,0.02,0.01,0.0001,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0001,0.0,0.0,0.0123,0.0023,Chá,gramas
0.14,0.045,0.005,0.0,0.084,0.29,0.4,0.0037,0.88,0.0,0.0,0.015,0.02,2.56,0.002,0.0006,0.0,0.0003,0.0,0.0,Feijão,gramas
0.079,0.006,0.305,0.42,0.0,0.03,0.01,0.0,0.14,0.0,0.0,0.001,7.87,0.16,0.0,0.0,0.0005,0.0,0.0,0.0,Maionese,gramas
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Azeite,gramas
0.0,0.359,0.073,1.26,0.0,0.05,0.27,0.0002,2.89,0.03,0.0,0.6,4.21,0.0012,0.081,0.0,0.0004,0.0003,0.0,0.0301,Carne,gramas
0.8029999999999999,0.021,0.091,0.0,0.078,0.66,0.34,0.0029,0.45,0.0,0.0,0.013999999999999999,5.75,2.01,0.0,0.001,0.0,0.0015,0.0,0.0,Mandioca,gramas
0.087,0.017,0.066,0.0,0.057,1.77,0.26,0.0012,0.33,0.005,0.11,3.15,0.0002,0.002,0.0,0.0,0.0005,0.0007000000000000001,0.0,0.769,Couve,gramas
35.7,2.0999999999999996,0.15,0.0,2.85,4.5,42.00000000000001,0.21000000000000002,40.5,0.45,0.0,564.0,0.15,0.3,0.0,0.0,0.030000000000000002,0.21000000000000002,0.0,8.850000000000001,Banana,inteiros
15.2,0.3,0.0,0.0,1.3,2.0,2.0,0.03,9.0,0.1,0.0,75.0,0.06,0.0,0.0,0.0,0.0,0.03,0.0,2.4,Maçã,inteiros
0.3,6.65,4.75,198.5,0.0,24.5,5.5,0.01,0.0,0.0,0.0,92.0,0.75,73.0,69.5,16.0,0.04,0.15,0.0,0.0,Ovo,inteiros
0.6,7.8,9.3,258.0,0.0,36.5,8.0,0.015,211.0,0.0,0.0,1.05,83.0,92.0,0.02,0.03,0.16,0.0,0.0,0.0,Ovo,inteiros
13.799999999999999,1.0499999999999998,0.15,0.0,0.6,12.0,16.5,0.030000000000000002,24.0,0.0,0.0,0.0,0.0,193.5,0.030000000000000002,0.15,0.045,0.060000000000000005,0.0,61.949999999999996,Laranja,inteiros
1.8399999999999999,1.4000000000000001,5.9399999999999995,0.0,0.7200000000000001,10.5,15.3,0.405,39.6,0.0,0.0,0.2,0.5,53.3,0.075,0.038,0.0,0.013,0.10800000000000001,0.0,Noz,inteiros
